name,year,wins,losses,ot_losses,pct,gf,diff
Boston Bruins,2011,49,29,4,0.598,269,67
Buffalo Sabres,2011,39,32,11,0.476,218,-12
Calgary Flames,2011,37,29,16,0.451,202,-24
Carolina Hurricanes,2011,33,33,16,0.402,213,-30
Columbus Blue Jackets,2011,29,46,7,0.354,202,-60
Chicago Blackhawks,2011,45,26,11,0.549,248,10
Colorado Avalanche,2011,41,35,6,0.5,208,-12
Dallas Stars,2011,42,35,5,0.512,211,-11
Detroit Red Wings,2011,48,28,6,0.585,248,45
Edmonton Oilers,2011,32,40,10,0.39,212,-27
Florida Panthers,2011,38,26,18,0.463,203,-24
Los Angeles Kings,2011,40,27,15,0.488,194,15
Minnesota Wild,2011,35,36,11,0.427,177,-49
Montreal Canadiens,2011,31,35,16,0.378,212,-14
Nashville Predators,2011,48,26,8,0.585,237,27
New Jersey Devils,2011,48,28,6,0.585,228,19
New York Islanders,2011,34,37,11,0.415,203,-52
New York Rangers,2011,51,24,7,0.622,226,39
Ottawa Senators,2011,41,31,10,0.5,249,9
Philadelphia Flyers,2011,47,26,9,0.573,264,32
Phoenix Coyotes,2011,42,27,13,0.512,216,12
Pittsburgh Penguins,2011,51,25,6,0.622,282,61
San Jose Sharks,2011,43,29,10,0.524,228,18
St. Louis Blues,2011,49,22,11,0.598,210,45
Tampa Bay Lightning,2011,38,36,8,0.463,235,-46
Toronto Maple Leafs,2011,35,37,10,0.427,231,-33
Vancouver Canucks,2011,51,22,9,0.622,249,51
Washington Capitals,2011,42,32,8,0.512,222,-8
Winnipeg Jets,2011,37,35,10,0.451,225,-21
